url,visual_design,mobile_experience,content_clarity,accessibility,navigation,content_volume,issues_identified,critical_fixes,score_gain
https://example.org,3.5,2.8,4.2,4.0,5.1,7.2,18,4,68
https://google.com,9.5,9.8,9.0,9.9,9.5,8.0,2,0,5
https://bad-website.com,1.2,1.0,2.5,1.5,2.0,3.0,45,15,95
https://medium.com,8.5,8.0,9.2,8.5,8.8,9.5,8,1,15
https://github.com,9.0,8.5,8.8,9.2,9.0,8.5,5,0,10
https://web.org,2.0,2.2,3.2,2.5,1.8,1.0,37,5,64
https://devtrust.net,8.0,9.9,9.8,8.1,9.9,8.5,2,0,5
https://digitalfoundation.ai,3.9,3.0,2.5,2.6,2.8,3.4,37,5,69
https://global.gov,5.2,6.1,3.9,5.0,6.1,5.8,16,3,33
https://citylife.com,9.6,9.5,8.5,9.7,9.2,9.9,2,0,4
https://buildweb.io,9.1,9.1,9.2,9.9,8.4,9.9,3,0,6
https://solutionspublic6.biz,5.9,3.4,5.4,3.9,3.9,5.7,19,9,32
https://careopsstudio.edu,5.7,4.9,5.2,5.6,4.0,6.4,10,1,51
https://create.biz,2.8,3.3,2.0,3.1,2.6,3.8,20,6,56
https://statestudioglobal.edu,7.0,6.1,6.1,5.8,5.1,7.2,15,2,32
https://clouddataart.info,8.8,7.5,8.1,9.0,6.6,7.9,4,1,19
https://smart.org,9.9,9.9,8.3,8.3,9.9,8.5,2,0,8
https://solutions12.net,4.4,4.9,4.4,4.0,5.9,4.9,27,8,34
https://projectcloudfoundation.io,9.8,9.3,9.0,8.6,9.9,9.2,1,0,7
https://globaldigitalfund.info,2.8,2.5,3.8,3.6,4.4,4.7,15,5,44
https://projectsolutionsapp.ai,9.5,8.3,9.5,9.6,9.3,7.2,5,0,8
https://codesolutionshub.biz,2.3,3.5,2.4,3.5,1.5,3.3,23,3,77
https://innovate.biz,4.0,5.1,6.5,3.9,5.4,6.3,25,8,45
https://artsofthub.biz,1.5,2.5,1.0,2.9,2.3,1.9,28,3,49
https://createtech.io,3.5,3.4,4.1,2.0,3.7,2.7,37,5,76
https://trust.gov,8.4,7.7,9.0,8.3,9.0,8.2,8,3,17
https://network.gov,9.9,9.3,9.9,8.0,8.0,9.9,2,0,7
https://designtrusthub.biz,9.9,8.7,8.6,9.8,8.6,8.8,5,0,6
https://studiohub.io,4.2,3.0,3.3,4.4,3.6,3.2,28,10,68
https://futureglobal.biz,6.3,7.3,5.4,7.5,5.7,7.2,9,1,25
https://webbuild.org,2.2,4.2,3.7,4.4,2.9,2.4,32,11,64
https://network.net,2.5,3.2,3.2,4.3,2.3,2.2,31,7,72
https://scienceops.gov,5.0,7.0,6.2,5.4,5.4,5.1,8,3,32
https://connectartproject28.com,8.7,8.0,9.9,9.9,8.6,9.2,3,1,6
https://statebuildfoundation.ai,8.2,8.3,9.9,8.3,9.9,9.9,4,1,9
https://labcaredesign.io,2.8,2.4,5.4,2.5,4.6,3.0,13,3,58
https://city.org,7.7,7.5,8.9,7.7,9.9,9.9,6,2,10
https://websoft32.com,8.5,8.4,8.8,9.5,8.4,9.3,3,0,13
https://cloud.ai,6.8,6.5,5.4,5.8,5.7,5.9,14,3,27
https://group.gov,7.6,5.0,5.1,7.3,6.1,5.7,10,1,23
https://naturedatafoundation.org,5.2,3.5,4.8,4.3,3.3,5.2,18,1,64
https://healthfuture.gov,1.6,1.2,1.2,3.8,1.4,3.3,28,11,73
https://datanext37.edu,5.7,8.2,7.8,5.6,6.2,5.6,7,1,31
https://publicstatecity38.gov,4.6,6.3,5.7,4.9,5.4,4.1,25,4,40
https://smartdatastate.edu,3.8,4.6,2.1,3.6,4.3,4.7,32,3,55
https://medialocalnext.net,9.0,9.0,8.2,7.7,7.4,9.2,3,0,10
https://digitalgroupcare.info,5.0,4.0,4.2,3.6,4.7,6.0,12,1,46
https://fund42.io,7.8,8.4,8.2,8.0,7.8,9.1,8,2,20
https://global.edu,5.9,7.5,6.5,7.3,6.0,6.4,15,4,31
https://web.biz,4.5,4.5,3.5,3.4,2.7,4.2,27,3,54
https://state.ai,5.4,5.8,7.0,7.7,7.5,5.2,11,1,38
https://cityops.biz,3.8,4.1,4.9,4.4,5.0,3.8,28,8,48
https://smart.biz,8.2,7.3,9.3,6.8,8.5,8.8,5,1,17
https://buildscience.biz,6.2,7.9,7.2,8.8,6.5,8.5,9,1,22
https://next.gov,9.4,9.9,9.9,9.9,9.9,9.9,0,0,1
https://cloud.ai,9.7,8.1,8.5,8.4,8.8,9.0,4,0,11
https://mediacitydata.info,1.9,1.0,2.5,3.4,1.9,1.0,40,16,61
https://agency.edu,3.6,5.1,3.9,3.3,4.0,5.1,18,3,41
https://care.org,6.0,6.0,5.3,6.8,7.0,6.0,19,3,39
https://cloudhublife.co,7.0,6.3,8.5,8.0,8.9,7.7,6,1,16
https://mediacloud.edu,2.7,3.3,3.7,4.0,3.6,3.1,38,14,52
https://basesoftsolutions.co,7.5,5.6,5.9,6.2,5.4,5.4,14,5,38
https://globalinnovatelocal57.gov,5.4,5.4,5.2,7.3,6.7,6.4,13,2,41
https://artfundbase.biz,3.8,2.5,3.7,4.6,4.6,3.6,30,4,51
https://hub.io,7.3,5.5,6.6,6.0,5.1,7.4,8,2,22
https://devart.org,8.9,8.4,6.3,7.9,7.5,8.9,7,2,23
https://solutionsdatasystem.ai,8.5,9.5,6.8,9.2,7.3,7.4,6,1,16
https://nextlifeglobal.info,6.5,6.7,7.2,8.2,9.5,7.5,6,1,16
https://tech.info,9.9,9.9,9.9,9.9,9.9,9.9,0,0,1
https://smartnetworkmedia.ai,7.3,7.1,8.0,6.5,7.3,8.3,12,3,22
https://publiclabnetwork.co,8.7,8.2,7.4,6.9,8.9,6.9,11,3,22
https://earth66.info,7.2,6.6,7.5,7.1,6.9,6.5,16,6,30
https://visioncloudglobal.biz,7.9,7.2,9.5,7.0,6.8,8.5,5,0,15
https://basesolutionshealth68.ai,7.2,8.0,6.6,5.8,6.7,5.5,8,3,26
https://science.biz,6.5,8.7,6.4,7.9,7.6,7.9,6,1,19
https://market70.biz,5.8,6.6,6.6,5.6,6.3,6.0,22,3,44
https://project.org,4.9,4.7,4.2,5.3,3.7,3.7,14,6,55
https://local.co,4.7,5.3,3.8,4.5,4.6,5.1,30,9,34
https://marketlifeconnect.io,6.5,7.6,6.1,8.4,8.6,8.5,4,0,21
https://vision.info,7.9,9.9,7.9,8.1,8.3,9.0,7,0,16
https://statecarehub.info,1.5,3.8,3.6,3.6,2.4,3.4,39,12,45
https://connectcloudscience.edu,4.8,3.7,4.0,4.2,2.9,2.0,35,8,64
https://nextcodesystem.com,7.7,8.8,7.5,8.4,7.7,8.0,8,2,13
https://create.ai,7.4,7.0,8.1,8.5,6.8,6.8,8,2,30
https://cityart.io,5.3,4.7,4.3,6.7,5.2,5.3,26,5,46
https://networkcity.co,3.0,3.9,4.1,5.2,4.4,4.8,17,5,46
https://foundationtrustproject.gov,4.6,5.9,3.1,5.8,3.5,3.6,32,7,46
https://networkprojectcloud.io,7.2,5.3,5.1,5.8,6.8,5.3,18,2,47
https://opssolutions.org,8.5,7.1,8.5,8.6,7.5,9.2,10,3,17
https://statepublic.biz,5.0,6.2,4.5,6.2,6.3,6.0,22,9,37
https://design85.com,3.9,3.7,3.2,5.1,4.7,3.7,33,7,56
https://projectcare.org,3.5,3.8,2.8,1.9,2.7,4.2,27,9,48
https://statecarenetwork.biz,5.4,6.3,4.4,6.2,6.6,5.9,19,2,32
https://global.net,9.8,8.9,9.8,9.8,9.9,9.9,1,0,3
https://designvisionlab.co,1.3,3.3,3.8,2.3,3.3,2.6,21,5,48
https://designhealthtech.info,9.3,9.8,8.4,8.3,9.6,9.0,3,0,6
https://tech.com,3.9,4.5,4.7,6.0,4.3,3.8,12,5,45
https://nature.net,7.2,7.3,7.9,8.2,8.2,8.7,8,2,13
https://art.com,9.9,8.3,9.0,9.8,9.3,8.9,1,0,7
https://designstudionext.ai,8.6,6.6,7.9,7.7,8.6,8.7,11,2,12
https://lifelocalcode95.info,3.8,6.5,5.1,6.2,5.3,5.0,13,6,42
https://publicvision.io,1.3,1.2,2.4,1.5,1.1,2.7,27,12,85
https://agencygroup97.org,7.1,8.0,6.8,8.0,8.3,9.0,8,3,21
https://digitaldata.net,5.0,3.1,3.2,3.8,3.7,4.3,18,5,55
https://baseconnect.gov,4.4,2.3,4.1,2.0,2.3,2.9,20,7,77
https://publiccodelab.co,6.9,6.5,6.4,5.9,7.1,5.2,15,5,42
https://devdesignlocal101.io,6.6,8.8,6.6,6.8,6.8,6.7,16,7,33
https://studio102.co,4.1,1.9,1.6,1.9,3.1,1.6,43,14,50
https://networkcare.com,7.2,9.1,9.6,8.4,9.9,7.4,5,1,8
https://lab.com,4.0,2.4,2.2,2.4,3.9,2.2,20,6,61
https://science.gov,7.1,7.2,6.2,6.9,6.1,6.7,14,2,29
https://codecreate.io,7.2,7.6,9.1,7.0,8.4,7.2,9,1,17
https://network.net,8.6,9.9,9.9,9.1,9.9,9.8,1,0,4
https://opsgrouplocal108.co,4.7,3.9,6.0,6.0,6.1,5.0,9,4,55
https://techlocal.net,6.8,7.2,6.5,7.5,7.6,8.9,6,2,19
https://code.io,5.1,5.4,4.8,4.7,6.1,5.4,10,2,44
https://projectconnect111.io,5.8,5.7,5.0,3.8,5.7,5.2,11,2,55
https://groupsolutionslife.gov,8.8,9.9,9.9,8.6,9.9,9.4,1,0,5
https://buildbaseproject.com,4.2,6.2,4.7,5.5,6.2,4.1,11,4,51
https://future.com,9.9,9.9,9.9,8.7,9.2,9.7,1,0,3
https://healthstudio.io,8.8,8.5,8.0,8.6,9.7,8.8,4,1,10
https://careops.com,9.9,9.9,8.0,8.6,8.1,8.8,6,1,10
https://techapp117.net,4.0,3.8,3.0,4.3,4.6,2.3,35,11,58
https://trustearthlab.co,7.1,8.4,9.6,8.9,9.4,8.3,3,0,10
https://lifecreateweb.edu,8.6,9.9,8.9,9.7,9.9,9.3,2,0,6
https://ops120.ai,9.4,8.0,6.5,8.2,8.9,7.1,5,1,23
https://solutionsdatasoft.net,9.9,8.2,8.6,9.9,9.0,9.9,2,0,8
https://visionearth.io,1.6,1.3,3.4,4.1,3.3,1.5,35,7,51
https://webnaturecloud123.io,3.1,3.0,3.8,4.6,2.9,3.9,36,12,52
https://innovatelabtech.gov,4.5,6.1,4.6,4.5,6.8,6.4,12,3,40
https://foundationnext125.edu,9.8,8.3,9.9,9.2,9.9,9.7,2,0,3
https://globallife.ai,6.8,4.3,4.5,4.4,3.9,6.8,26,5,57
https://mediapublic.io,6.3,4.8,6.3,5.9,4.4,5.3,10,2,28
https://media.gov,6.6,6.8,7.4,5.8,6.0,6.7,15,6,35
https://cloudnext.info,7.9,8.2,7.4,8.0,8.6,8.3,9,3,14
https://soft.co,5.2,3.1,4.1,3.3,3.1,3.4,23,7,64
https://labsystem.biz,4.8,5.2,6.5,4.7,5.4,4.5,27,8,56
https://devsoft132.com,2.0,4.1,2.8,3.1,2.0,1.5,36,14,78
https://code.info,8.0,9.2,7.4,7.5,8.0,7.2,5,2,21
https://art.info,8.9,8.3,9.9,9.9,9.9,9.9,3,0,5
https://agencysolutions.edu,1.8,4.5,2.7,2.4,4.6,3.3,29,5,71
https://nextfundnetwork.biz,7.0,8.1,8.3,6.3,6.1,7.1,12,5,20
https://cloudearth.biz,3.9,2.3,4.0,4.1,4.6,2.1,17,2,62
https://science.biz,2.7,2.4,2.0,3.0,4.0,2.3,22,4,46
https://digitalconnectfuture.com,4.7,6.3,4.1,5.9,4.2,4.8,29,10,45
https://global140.edu,6.4,7.5,6.6,9.0,7.4,6.8,8,3,21
https://city.edu,5.5,5.0,3.8,6.6,4.8,3.8,15,4,37
https://foundationglobalglobal.info,4.8,5.3,6.2,4.7,6.5,6.3,24,7,48
https://baseproject.ai,1.7,2.6,1.4,2.3,3.3,2.1,36,4,62
https://fund.biz,5.8,8.2,7.8,6.3,7.2,6.2,18,4,20
